Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Колбаса сырокопченая Раменский деликатес Европейская,11.0,49.0,0.0,485.0
Колбаса сырокопченая Раменский деликатес Куриная деликатесная,16.0,44.0,2.0,470.0
Колбаса сырокопченая Раменский деликатес Салями Парма,20.0,42.0,0.0,460.0
Колбаса сырокопченая Раменский деликатес Сицилийская,15.0,48.0,0.0,490.0
Колбаса сырокопченая Салями Итальянская,11.0,63.0,0.0,631.0
Колбаса сырокопченая свиная,13.0,57.3,0.2,568.0
Колбаса сырокопченая сервелат,24.0,40.5,0.0,461.0
Колбаса сырокопченая сервелат Дымов,15.0,53.0,0.0,537.0
Колбаса сырокопченая столичная,24.0,43.4,0.0,487.0
Колбаса сырокопченая сухая Велком Миланская,20.0,34.0,0.0,390.0
Колбаса сырокопченая Черкизово Сальчичон,17.0,34.0,1.0,366.0
Колбаса сырокопченая Эколь Халяль Говяжья нарезка,31.0,11.0,0.0,228.0
Колбаски Ближние Горки Шашлычные из свинины,12.0,38.0,0.0,282.0
Колбаски домашние Ганна из мяса птицы,16.0,23.0,2.7,279.0
Колбаски Мираторг Black Angus классические,12.0,35.0,0.0,360.0
Колбаски Мираторг Чевапчичи Black Angus,12.0,35.0,0.0,360.0
Колбаски Мираторг Чевапчичи из свинины по-домашнему,10.0,32.0,0.0,330.0
Колбаски Петруха Мастер из мяса цыплят-бройлеров оригинальные,16.0,18.0,0.0,230.0
Колбаски полукопченые Дымов охотничьи,25.7,40.0,0.0,463.0
Колбаски полукопченые Окраина охотничьи,14.0,46.0,0.0,470.0
Колбаски полукопченые охотничьи,27.4,24.3,0.0,326.0
Колбаски Рублёвский Имеретинские для жарки,12.0,17.0,0.3,220.0
Колбаски рубленые Троекурово с пряными травами,15.0,10.0,0.0,150.0
Колбаски рубленые Черкизово из свинины для жарки,15.0,33.0,2.0,365.0
Колбаски сырокопченые Дымов Пиколини Дижонская горчица,18.0,50.0,0.0,520.0
Колбаски сырокопченые Дымов Пиколини Пармезан,18.0,50.0,0.0,520.0
Колбаски сырокопченые Дымов Пиколини Хамон,18.0,50.0,0.0,520.0
Колбаски сырокопченые Ремит Kabanos Chicken,25.0,35.0,3.0,430.0
Колбаски сырокопченые Ремит Kabanos Chili,25.0,35.0,2.5,440.0
Колбасный фарш,12.3,32.4,2.9,352.0
Колоказия съедобная,1.5,0.2,26.5,112.0
Компот из сухофруктов без сахара,0.8,0.0,14.2,60.0
Компотное ассорти Hortex с клубникой,1.1,0.3,3.2,52.0
Конвертик слоеный,6.5,8.1,53.4,313.0
Конгрио,19.1,1.9,0.0,94.0
Конина,20.2,7.0,0.0,187.0
Конина вареная,30.8,13.0,0.0,240.0
Конина жареная,34.3,17.4,0.0,293.0
Конина тушеная,25.0,12.7,0.0,214.0
Конкильони,10.4,1.1,71.5,344.0
Конфеты 35 со сливочной начинкой,4.5,30.0,60.0,530.0
Конфеты Ferrero Rocher,8.8,41.3,43.2,580.0
Конфеты Haribo Chamallows,3.5,0.5,80.0,332.0
Конфеты Raffaello,9.3,47.8,38.8,623.0
Конфеты Rondo с ароматом мяты,0.6,0.0,98.4,405.0
Конфеты Бабаевский Белочка,8.8,33.1,53.4,538.0
Конфеты батончики Рот-Фронт,10.7,29.5,53.2,514.0
Конфеты Визит,9.0,35.0,51.0,549.0
Конфеты грильяжные,5.3,26.9,65.6,523.0
Конфеты Коровка сливочная,2.7,4.4,82.4,351.0
Конфеты кремовые,7.5,31.8,55.8,523.0
Конфеты лакричные,3.7,10.0,69.0,385.0
Конфеты Марсианка Чизкейк,2.5,14.2,63.8,375.0
Конфеты молочные,2.7,4.3,82.3,364.0
Конфеты Озерский сувенир Вишня Владимировна в шоколаде,3.0,20.0,63.0,440.0
Конфеты Озерский сувенир Курага Петровна в шоколаде,5.0,14.8,57.0,312.0
Конфеты Озерский сувенир Орех Сергеевич Грецкий в шоколаде,8.5,44.2,38.0,580.0
Конфеты Озерский сувенир Фундук Петрович в шоколаде,8.5,48.0,41.0,630.0
Конфеты помадные,2.2,4.6,83.6,369.0
Конфеты Славянка Золотой степ глазированные арахис карамель,10.0,27.4,51.4,498.0
Конфеты Славянка Лёвушка,1.0,7.4,74.4,371.0
Конфеты Спринт с печеньем,4.9,21.7,67.3,420.0
Конфеты фруктовые,1.6,8.6,75.8,369.0
Конфеты шоколадные,4.0,39.5,54.2,569.0
Конфитюр,0.9,0.2,40.3,183.0
Концентрат соуса карри S&B Golden Curry,6.1,28.0,51.1,483.0
Концентрат сывороточный белковый КСБ-УФ-55,55.0,0.0,22.5,310.0
Коньяк,0.0,0.0,0.1,239.0
Коньячная эссенция,0.0,0.0,0.0,
Корейка,13.7,36.5,,384.0
Корейка копчено-запеченная,10.2,48.2,,475.0
Корейка свиная б/к (карбонад),17.0,25.0,,301.0
Корейка сырокопченая,10.5,47.4,,469.0
Коржи бисквитные готовые,5.9,0.8,56.3,258.0
Коржи вафельные,10.2,4.2,65.7,341.0
Коржи для медовика,6.3,11.4,64.5,384.0
Кориандр,1.5,0.0,5.0,25.0
Кориандр молотый,12.3,17.7,13.1,298.0
Корица,3.9,3.2,79.8,261.0
Корлан,0.7,0.2,18.0,82.0
Корюшка,15.4,4.5,0.0,102.0
Котлеты гречневые Мистраль,12.0,3.0,58.0,310.0
Котлеты из баранины отбивные,20.6,30.6,9.1,394.0
Котлеты из баранины рубленые,13.6,14.8,12.9,240.0
Котлеты из говядины,18.0,20.0,0.0,260.0
Котлеты из говядины Мираторг Black Angus,12.0,35.0,0.0,360.0
Котлеты из говядины рубленые,14.2,11.4,13.0,213.0
Котлеты из индейки,18.6,12.2,8.7,220.0
Котлеты из курицы (готовые),18.2,10.4,13.8,222.0
Котлеты из мяса цыплят рубленые,15.2,13.6,13.5,238.0
Котлеты из свинины и говядины Черкизово рубленые,18.0,13.0,0.0,189.0
Котлеты из свинины отбивные,17.5,40.3,8.8,470.0
Котлеты из свинины рубленые,13.6,45.7,,466.0
Котлеты из свинины сырые,27.3,13.4,,238.0
Котлеты из телятины,23.0,31.0,0.0,375.0
Котлеты из трески,12.6,5.9,15.0,164.0
Котлеты нутовые Вкусное дело,20.8,1.8,49.7,288.0
Котлеты нутовые Мистраль,12.0,12.0,53.0,360.0
Котлеты чечевичные Вкусное дело,19.2,2.2,54.8,307.0
Кофе Maxwell House гранулированный сухой,14.6,0.0,10.3,100.0
Кофе Maxwell House растворимый сухой,14.6,0.0,10.3,100.0
Кофе жареный в зёрнах сухой,13.9,14.4,15.6,223.0
Кофе зелёный сухой,12.3,0.2,35.7,222.0
Кофе латте макиато,1.5,1.4,2.0,29.0
Кофе Леовит Худеем за неделю Капуччино для похудения жиросжигающий комплекс,6.0,15.0,84.0,500.0
Кофе мокаччино,2.8,10.6,46.5,289.0
Кофе натуральный молотый сухой,13.9,14.4,4.1,201.0
Кофе по-ирландски,0.0,4.5,4.0,114.0
Кофе Президент молотый сухой,13.9,14.4,2.8,218.0
Кофе растворимый сухой,15.0,3.5,0.0,94.0
Кофе с молоком и сахаром,0.7,1.0,11.2,58.0
Кофе со сгущенным молоком,0.7,0.9,10.9,55.0
Кофе со сгущенным молоком и сахаром,0.6,0.6,13.6,62.0
Кофе черный,0.2,0.0,0.3,2.0
Кофе Чибо растворимый сухой,18.1,0.7,46.3,264.0
Кофейный напиток,6.0,4.8,71.2,337.0
Кофейный напиток iCafe Iced French Vanilla Coffe,1.0,1.2,7.1,43.0
Кофейный напиток iCafe Iced Mocha,1.2,1.2,9.2,52.0
Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1,3.0,8.0,86.0,420.0
Кофейный напиток Nescafé Xpress Choko Latte,1.4,1.2,8.3,52.0
Кофейный напиток Nescafé Xpress Vanilla,1.4,1.3,8.3,51.0
Краб голубой,18.1,1.1,0.0,87.0
Краб камчатский,18.3,0.6,0.0,84.0
Крабовая колбаса,15.2,0.9,6.8,99.0
Крабовое мясо,6.0,1.0,10.0,73.0
Крабовое мясо Мирамар,15.4,6.9,4.0,140.0
Крабовое мясо Санта Бремор,4.9,1.7,12.3,84.0
Крабовые палочки,6.0,1.0,10.0,73.0
Крабовые палочки Vici Имитация из сурими (замороженные),6.4,1.0,18.0,107.0
Крабовые палочки Vici сочные,6.0,1.0,10.0,73.0
Крабовые палочки Меридиан для салата,7.5,4.8,13.4,130.0
Крабовые палочки Меридиан охлажденные,7.6,0.4,13.8,90.0
Крабовые палочки Меридиан с мягким сыром с белыми грибами,10.0,4.4,10.2,120.0
Крабовые палочки Меридиан с мягким сыром с чесноком и зеленью,10.0,4.4,10.2,120.0
Крабовые палочки Меридиан Снежный краб,15.4,6.9,4.0,140.0
Крабовые палочки Мирамар,15.4,6.9,4.0,140.0
Крабовые палочки Санта Бремор Снежный краб,8.9,1.0,6.3,70.0
Крабы консервированные,18.7,1.1,0.1,85.0
Крабы отварные,16.0,3.6,0.0,96.0
Крапива,2.6,0.3,5.2,33.0
Краситель пищевой,0.0,0.0,0.0,
Красноглазка,21.9,4.2,0.0,125.0
Краснопёрка,18.3,3.0,0.0,100.0
Крахмал картофельный,0.1,0.0,79.6,300.0
Крахмал кукурузный,1.0,0.6,85.2,329.0
Крахмал тапиоковый,0.0,0.0,88.0,360.0
Креветки Polar Premium свежемороженые,17.0,1.2,1.0,80.0
Креветки консервированные,17.8,1.1,0.0,81.0
Креветки Королевские,18.3,1.2,0.8,87.0
Креветки маринованные,12.2,1.3,0.0,60.0
Креветки отварные,18.9,2.2,0.0,95.0
Креветки очищенные замороженные,14.0,1.0,0.0,60.0
Креветки свежие,22.0,1.0,0.0,97.0
Креветки Тигровые,19.2,0.6,0.0,89.0
Крекер Tuc Cheezzz,8.5,24.2,57.5,485.0
Крекер Tuc Original,8.1,22.0,61.5,479.0
Крем Zero сливочный Coco Jamboo с добавлением кокосовой стружки,1.8,19.0,5.8,202.0
Крем Zero сливочный Toffee Jamboo со вкусом карамели,2.0,17.3,8.2,196.0
Крем взбитый Альпенгурт Премиум,2.6,18.0,9.0,207.0
Крем взбитый Альпенгурт Шоколадные мечты,2.8,24.0,13.0,281.0
Крем для торта Dr.Oetker шоколадный,15.9,28.6,34.0,457.0
Крем кондитерский,0.2,26.0,16.5,300.0
Крем суфле Егорьевская ФКГ Постный с грибами,5.0,42.0,3.5,412.0
Крем-мёд натуральный,0.8,0.0,80.3,328.0
Крем-суп Gallina Blanca Грибной по-итальянски,8.5,5.0,59.0,330.0
Крем-суп Knorr Томатный по-итальянски,8.5,1.5,62.0,300.0
Крендель,8.2,3.1,69.3,338.0
Кресс-салат,2.3,0.1,1.3,11.0
Кровянка,9.0,19.5,14.5,274.0
Крокодиловое мясо,26.0,0.7,0.0,110.0
Кролик,21.0,8.0,0.0,156.0
Кролик жареный,25.0,6.0,0.0,155.0
Кроличий фарш,19.5,7.4,0.7,147.0
Кроличьи почки,12.5,1.8,0.0,66.0
Кроличья печень,19.0,10.0,0.0,166.0
Круассан Черёмушки без начинки,8.0,28.8,41.6,461.0
Круассан Черёмушки с абрикосовой начинкой,5.5,19.7,47.0,390.0
Круассан Черёмушки с карамельной начинкой,6.4,21.2,40.3,379.0
Круассан Черёмушки с клубничной начинкой,5.5,19.7,47.0,390.0
Круассан Черёмушки с шоколадно-ореховой начинкой,6.3,28.3,46.2,465.0
Круассан Черёмушки со сливочной начинкой,5.7,28.5,46.2,467.0
Круггетсы Горячая штучка Сочные,12.0,20.0,8.0,260.0
Крупа Увелка Дружба рис и пшено,8.0,1.0,77.0,350.0
Крутоны,10.1,9.7,71.7,426.0
Крыжовник,0.7,0.2,12.0,43.0
Крылышки Горячая штучка хрустящие,16.5,15.0,7.5,231.0
Ксилит,0.0,0.0,97.9,367.0
Кукумария,7.3,0.6,0.0,35.0
Кукуруза 4 сезона сладкая в зёрнах,11.4,4.2,38.6,238.0
Кукуруза 6 соток сладкая,2.2,0.0,11.2,58.0
Кукуруза Globus сахарная в зернах,2.9,0.6,9.9,58.0
Кукуруза Hortex,3.6,1.4,19.3,111.0
Кукуруза Бондюэль золотистая,3.2,1.0,18.6,96.0
Кукуруза Бондюэль Молодая сладкая,2.9,1.9,10.8,80.0
Кукуруза Бондюэль сладкая в зёрнах,3.3,2.3,14.7,93.0
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке,3.9,1.3,22.0,115.0
Кукуруза варёная,4.1,2.3,22.5,123.0
Кукуруза мини,3.1,1.6,21.8,114.0
Кукуруза сладкая в початках,3.5,2.8,15.6,101.0
Кукуруза сладкая консервированная,2.2,0.0,11.2,58.0
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375.0
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380.0
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394.0
Кукурузная крупа,8.3,1.2,75.0,337.0
Кукурузная крупа Makfa,8.3,1.2,71.0,328.0
Кукурузная крупа Makfa в пакетиках,8.3,1.2,71.0,328.0
Кукурузная манка Гарнец безглютеновая,23.0,1.6,50.8,314.0
Кукурузные палочки,8.3,1.2,75.0,325.0
Кукурузные палочки сладкие,4.7,13.0,82.9,467.0
Кукурузные хлопья,6.9,2.5,83.6,363.0
Кукурузные хлопья 365 дней,7.5,1.5,78.0,360.0
Кукурузные хлопья Алтайская сказка,8.3,1.2,75.0,325.0
Кукурузные хлопья На здоровье Кунцево,6.5,1.0,89.0,390.0
Кулич пасхальный магазинный,5.5,15.8,43.3,331.0
Кумжа,16.7,3.6,0.0,104.0
Кумкват,1.9,0.9,9.4,71.0
Кумкват сушёный,3.8,0.0,80.1,284.0
Кумыс из кобыльего молока,2.1,1.9,5.0,50.0
Кумыс из коровьего молока,3.0,0.1,6.3,41.0
Кумыс из коровьего молока обезжиренный,1.5,0.1,2.1,15.0
Кунжут,19.4,48.7,12.2,565.0
Кунжут чёрный,19.4,48.4,12.2,565.0
Купаты Боярские Индилайт,11.0,34.0,0.0,350.0
Купырь (кервель),3.2,0.3,7.3,45.0
Курага,5.2,0.3,51.0,215.0
Куриная голень,18.0,14.0,0.0,198.0
Куриная голень вареная без кожи,27.0,5.6,0.0,158.0
Куриная грудка,23.6,1.9,0.4,113.0
Куриная грудка вареная,29.8,1.8,0.5,137.0
Куриная грудка копченая,18.0,5.0,0.0,117.0
Куриная грудка на пару,23.6,1.9,0.0,113.0
Куриная кожа,18.0,15.6,0.0,212.0
Куриная печень,19.1,6.3,0.6,136.0
Куриная печень вареная,25.9,6.2,2.0,166.0
Куриная печень жареная,30.8,8.9,2.0,210.0
Куриное мясо в собственном соку,16.0,20.0,0.0,240.0
Куриное сердце,15.8,10.3,0.8,159.0
Куриное сердце вареное,20.0,10.9,1.1,182.0
Куриное филе,23.1,1.2,0.0,110.0
Куриное филе Агрокомплекс,21.0,5.0,0.0,129.0
Куриное филе вареное,30.4,3.5,0.0,153.0
Куриное филе сыровяленое,52.8,9.0,0.0,292.0
Куриное филе-медальон Мираторг,13.3,8.1,15.5,188.0
Куриные бедра,21.3,11.0,0.1,185.0
Куриные биточки сливочные Троекурово,14.0,7.0,8.5,153.0
Куриные желудки,18.2,4.2,0.6,114.0
Куриные зразы с грибами и сыром Троекурово,14.0,7.5,8.4,157.0
Куриные крылышки,19.2,12.2,0.0,186.0
Куриные крылышки копченые,29.9,19.5,0.0,290.0
Куриные лапки,19.4,14.6,0.2,215.0
Куриные ножки маринованные,17.0,14.0,1.7,200.0
Куриные окорочка,16.8,10.2,0.0,158.0
Куриные окорочка копченые,10.0,20.0,0.0,220.0
Куриные потроха,18.3,5.2,1.4,130.0
Куриные фрикадельки Веснушки,13.8,8.7,7.6,164.0
Куриные шейки,14.7,26.4,0.0,297.0
Куриный рулет,16.0,26.0,0.0,310.0
Куриный суповой набор,16.5,12.6,0.4,181.0
Куриный фарш,17.4,8.1,0.0,143.0
Куриный фарш жирный,21.3,11.0,0.1,185.0
Куриный фарш Самсон 5%,16.0,5.0,0.0,105.0
Куриный фарш филейный Троекурово,21.0,5.0,0.0,130.0
Куриный фонарик копчено-вареный,11.0,5.0,2.0,97.0
Куриный шницель рубленый Троекурово,14.7,12.8,9.9,210.0
Курица,16.0,14.0,0.0,190.0
Курица 1 крыло KFC,16.6,20.7,15.4,314.0
Курица 1 ножка KFC,21.4,12.6,10.1,239.0
Курица 1 стрипс оригинальный,24.5,15.2,13.7,290.0
Курица 1 стрипс острый,22.3,10.3,15.8,245.0
Курица Байтсы Острые,23.5,11.9,16.6,268.0
Курица Байтсы Терияки,15.1,8.9,26.0,244.0
Курица вареная (без кожи),25.2,7.4,0.0,170.0
Курица жареная,26.0,12.0,0.0,210.0
Курица копченая,27.5,8.2,0.0,184.0
Куркума,12.7,13.8,58.2,325.0
Куркума (корень),12.7,13.8,58.2,325.0
Куропатка,18.0,20.0,0.5,254.0
Куропатка жареная,29.0,8.0,0.0,250.0
Кус-кус приготовленный,3.8,0.2,21.8,112.0
Кус-кус сухой,12.8,0.6,72.4,376.0
Кускус Агро-Альянс,12.0,2.5,75.0,370.0
Кускус Готово! с томатами,13.0,1.6,73.0,350.0
Кэроб,4.6,0.7,49.0,222.0
Кэроб обжаренный Royal Forest,4.0,1.0,40.0,222.0
Кэроб перуанский Royal Forest,4.0,0.0,48.0,380.0
Лаванда,4.0,0.7,0.2,23.0
Лаваш армянский,7.9,1.0,47.6,236.0
Лаваш армянский Чёрная Каракатица,7.2,0.8,48.3,229.0
Лаваш кавказский,8.1,0.7,57.1,274.0
Лаваш Фитнес отрубной,5.2,0.4,33.3,147.0
Лаваш шпинатный,7.2,0.8,48.3,220.0
Лавровый лист,7.6,8.4,48.7,313.0
Лагенария,0.6,0.0,3.4,15.0
Лайм,0.9,0.1,3.0,16.0
Лаймовый сок,0.0,0.0,8.2,25.0
Лангет,15.7,11.6,0.0,167.0
Лангуст (мясо шеек),17.5,2.0,0.0,88.0
Лангустин,20.6,1.5,2.4,112.0
Лапша Buitoni La Rasagnole Феттучине,13.5,4.0,69.0,370.0
Лапша Buitoni Тальятелле Гнезда,13.5,4.0,69.0,370.0
Лапша Buitoni Феттучине Гнезда,11.5,1.9,71.8,350.0
Лапша SanBonsai гречневая Soba,10.0,0.5,62.0,294.0
Лапша SanBonsai пшеничная Udon,12.0,1.0,65.0,358.0
Лапша SanBonsai яичная Egg,9.0,15.0,68.0,440.0
Лапша ВкусВилл с куркумой,10.4,1.1,71.5,334.0
Лапша гречневая SOBA,14.7,0.9,70.5,348.0
Лапша домашняя,12.0,3.7,60.1,322.0
Лапша Доширак со вкусом говядины,7.0,18.0,63.0,440.0
Лапша Доширак со вкусом курицы,9.0,19.0,62.0,460.0
Лапша рамен,10.4,1.1,69.7,337.0
Лапша рисовая Midori крупная,0.1,1.2,84.9,330.0
Лапша рисовая Сэн Сой,7.0,0.0,79.0,344.0
Лапша Роллтон,8.8,20.7,56.7,448.0
Лапша удон,10.4,1.1,69.7,337.0
Лапша харусаме,0.0,0.0,88.1,352.0
Лапша-лагман Щебекинские,13.0,1.5,72.0,350.0
Лебеда садовая сушеная,14.1,6.1,64.2,368.0
Лёд колотый,0.0,0.0,0.0,
Ледяная рыба,17.7,2.2,0.0,90.0
Лемонема,15.9,0.4,0.0,67.0
Лепёшка ржаная,8.0,18.3,44.2,376.0
Лепешка узбекская с кунжутом,7.9,0.8,50.4,245.0
Лепешки пшеничные Mission Deli оригинальные,7.0,7.0,46.0,280.0
Лесные грибы Hortex,2.2,0.7,3.9,35.0
Лесные грибы Hortex с картошкой,2.6,1.5,5.5,51.0
Летрин,20.2,0.4,0.0,84.0
Летучая рыба,15.5,1.8,0.0,87.0
Лецитин,6.0,97.0,4.0,913.0
Лечо Бондюэль в томатном соусе замороженное,1.3,0.9,5.4,35.0
Лечо Бондюэль консервированное,1.5,0.3,17.0,65.0
Лещ вяленый,42.0,5.9,0.0,221.0
Лещ горячего копчения,32.8,4.5,0.0,172.0
Лещ морской,21.3,6.4,0.0,105.0
Лещ отварной,20.9,4.7,0.0,126.0
Лещ свежий,17.1,4.1,0.0,105.0
Лещ холодного копчения,29.7,4.6,0.0,160.0
Ликёр Amaretto,0.0,0.0,35.0,280.0
Ликёр Amarula,3.0,13.0,25.0,327.0
Ликёр Baileys,3.0,13.0,25.0,327.0
Ликёр Becherovka,0.0,0.0,6.4,248.0
Ликёр Blue Curacao,0.0,0.0,46.0,236.0
Ликёр Brogans,2.7,7.3,32.7,241.0
Ликёр Campari,0.0,0.0,12.0,112.0
Ликёр Cointreau,0.0,0.0,20.0,197.0
Ликёр Don Amaretto Milano,0.0,0.0,35.0,280.0
Ликёр Drambuie,0.0,0.0,40.0,299.0
Ликёр Frangelico,0.0,0.7,19.0,63.0
Ликёр Galliano,0.0,0.0,6.4,248.0
Ликер Grand Marnier,0.0,0.0,20.0,197.0
Ликёр Irish Mist,0.0,0.0,6.4,248.0
Ликёр Jagermeister,0.0,0.0,13.2,246.0
Ликёр Kahlua,0.6,0.7,41.7,291.0
Ликёр Limoncello,0.0,0.0,30.0,325.0
Ликёр Malibu,0.0,0.0,20.0,197.0
Ликёр Maraschino,0.0,0.0,40.0,299.0
Ликёр Midori,0.0,0.0,39.0,140.0
Ликёр Mozart,1.2,7.8,34.0,332.0
Ликёр Sambuca,0.0,0.0,40.0,240.0
Ликёр Sheridans,1.4,7.0,39.0,315.0
Ликёр Southern Comfort,0.0,0.0,31.0,112.0
Ликёр Vana Tallinn,0.0,0.0,39.0,140.0
Ликёр Wild Africa,2.7,7.3,32.6,241.0
Ликёр Xuxu,0.0,0.0,29.0,166.0
Лимон,0.9,0.1,3.0,16.0
Лимон маринованный,0.4,0.3,6.5,21.0
Лимон японский (Юзу),0.5,0.1,7.0,21.0
Лимонад,0.0,0.0,6.4,26.0
Лимонад диетический,0.0,0.0,0.0,2.0
Лимонелла,17.6,1.0,0.0,79.0
Лимонная кислота,0.0,0.0,0.0,
Лимонник,1.0,0.0,1.9,11.0
Лимонный сок,0.9,0.1,3.0,16.0
Лингуине,12.0,1.2,71.0,350.0
Линь,7.0,1.8,0.0,40.0
Лисички быстрозамороженные Свой урожай,1.5,1.0,1.0,19.0
Лисички свежие,1.6,1.1,2.2,20.0
Лисички сушёные,22.3,7.6,24.2,261.0
Листы для лазаньи,12.0,1.5,72.2,350.0
Листы для лазаньи Barilla,12.0,1.5,72.2,350.0
Листы для лазаньи Buitoni,11.5,1.9,71.8,350.0
Листья алоэ,0.0,0.0,5.0,20.0
Листья амаранта,2.5,0.3,4.0,23.0
Листья винограда,5.6,2.1,6.3,93.0
Листья винограда консервированные,4.3,2.0,11.7,69.0
Листья вишни,0.0,0.0,0.1,1.0
Листья карри,16.8,8.3,17.5,203.0
Листья смородины,0.1,0.0,0.1,1.0
Листья хрена,9.4,1.4,6.2,64.0
Личи,0.8,0.3,14.4,65.0
Лоби 4 сезона зелёный нарезанный,3.1,0.3,3.1,28.0
Лобстер,18.8,0.9,0.5,90.0
Логанова ягода,1.5,0.3,7.7,55.0
Лонган,1.3,0.1,14.0,60.0
Лопух (репейник) корень,1.5,0.1,14.0,72.0
Лопух (репейник) листья,1.8,0.2,3.7,19.0
Лососевый фарш,19.0,6.0,0.0,130.0
Лосось консервированный,20.6,6.3,0.0,144.0
Лосось копчёный,21.5,8.4,0.0,162.0
Лосось Королевский свежий,20.3,11.7,0.0,187.0
Лосось маринованный,21.0,17.0,0.0,237.0
Лосось с гриля,20.7,22.3,0.6,283.0
Лосось свежий,19.8,6.3,0.0,142.0
Лосось солёный,23.0,13.0,0.0,209.0
Лосось соте,21.1,31.4,4.1,379.0
Лосось филе слабосоленое,21.1,16.7,1.0,233.0
Лосятина,21.4,1.7,0.0,101.0
Лотос (корень),2.6,0.1,12.3,74.0
Лук белый,1.4,0.2,9.0,42.0
Лук душистый джусай,1.4,0.2,8.2,41.0
Лук зелёный,1.3,0.0,4.6,19.0
Лук красный,1.4,0.0,9.1,42.0
Лук красный маринованный,0.9,0.1,2.8,19.0
Лук маринованный,0.9,0.1,2.8,19.0
Лук порей,2.0,0.0,8.2,33.0
Лук репчатый,1.4,0.0,10.4,47.0
Лук репчатый 4 сезона нарезанный,1.2,0.2,8.6,38.0
Лук репчатый пассерованный,1.2,17.0,8.6,193.0
Лук репчатый сушеный,8.4,2.8,42.6,219.0
Лук-чеснок рокамболь,6.4,0.5,31.0,149.0
Лук-шалот,2.5,0.1,16.8,72.0
Лукма,2.0,2.1,75.6,380.0
Лукума,0.1,0.1,7.9,32.0
Лукума Royal Forest,3.0,1.4,66.7,329.0
Луми,0.9,0.1,3.0,30.0
Луфарь,19.7,3.4,0.0,109.0
Льняная каша с кунжутом,34.0,14.0,12.0,312.0
Льняные отруби Dr. Dias,30.0,10.0,10.0,250.0
Льняные отруби Dr. Dias с семечкой,30.0,10.0,10.0,250.0
Любисток,3.7,0.4,7.6,20.0
Любисток (корень),3.7,0.4,7.6,20.0
Люффа,1.2,0.2,4.4,20.0
Люцерна,0.2,0.7,4.0,23.0
Лягушачьи лапки,16.4,0.3,0.0,73.0
Маболо,0.5,0.4,15.3,67.0
Магический фрукт,0.0,0.0,7.7,30.0
Майонез Calve классический,0.8,50.0,5.0,470.0
Майонез Calve Легкий,0.8,25.0,6.5,254.0
Майонез Calve Экстра Легкий,1.0,8.0,10.0,110.0
Майонез Диетический,1.4,20.0,4.4,204.0
Майонез Домашний (готовый),5.3,58.7,4.5,568.0
Майонез Европейский,1.4,72.0,2.6,665.0
Майонез Ласка Постный,0.0,56.0,4.3,521.0
Майонез Лёгкий,0.3,30.0,5.2,299.0
Майонез Любительский,3.1,47.0,3.0,449.0
Майонез Махеевъ Провансаль,0.6,40.0,1.8,369.0
Майонез Махеевъ Провансаль с лимонным соком,0.5,67.0,2.1,613.0
Майонез Махеевъ с перепелиным яйцом,0.5,50.5,1.3,462.0
Майонез Махеевъ Салатный,0.6,25.0,1.9,235.0
Майонез на соевом молоке,8.7,30.0,1.7,311.0
Майонез Провансаль,3.1,67.0,2.6,624.0
Майонез Слобода Зеленая Дача с маслом авокадо,0.4,67.0,2.1,613.0
Майонез Слобода на перепелиных яйцах,0.0,67.0,2.2,616.0
Майонез Слобода Оливковый,3.0,67.0,2.8,627.0
Майонез Слобода Постный,0.0,56.0,2.9,520.0
Майонез Слобода Провансаль,3.0,67.0,2.8,627.0
Майонез Слобода с лимонным соком,0.4,67.0,4.5,623.0
Майонез Слобода Сметанный,0.4,67.0,2.1,613.0
Майонез столовый молочный,2.4,67.0,3.9,627.0
Майонез японский,4.3,10.2,5.8,134.0
Майоран,12.7,7.0,60.6,271.0
Мак,17.5,47.5,2.0,505.0
Мак пищевой Националь,18.0,48.0,15.0,560.0
Макароны Barilla Colezione Mezze Penne Tricolore,12.0,2.0,71.7,353.0
Макароны Barilla Fusilli,14.0,2.0,69.7,359.0
Макароны Buitoni Бантики трехцветные,11.7,1.7,71.3,347.0
Макароны Buitoni Каннеллони крупные,11.5,1.9,71.8,350.0
Макароны Buitoni Спиральки трехцветные,11.7,1.7,71.3,347.0
Макароны La Molisana Spaghetti,14.0,1.0,70.0,351.0
Макароны Makfa,10.4,1.1,71.5,344.0
Макароны Makfa гречневые,14.1,1.0,70.9,350.0
Макароны Makfa Станичные (перья любительские),16.3,1.6,69.2,356.0
Макароны Makfa Станичные (спирали),16.3,1.6,69.2,356.0
Макароны Makfa томатные,13.0,1.5,75.0,370.0
Макароны Makfa цельнозерновые,13.9,1.4,73.1,361.0
Макароны Makfa шпинатные,12.6,1.3,76.0,366.0
Макароны Makfa Экспресс,12.0,1.3,70.5,342.0
Макароны MakForFit с полбой и отрубями,13.5,1.4,66.0,330.0
Макароны MakForFit со шпинатом,12.0,1.0,67.0,330.0
Макароны вареные с жиром,3.4,5.0,19.0,135.0
